"author/last_played","author/num_games_owned","author/num_reviews","author/playtime_at_review","author/playtime_forever","author/playtime_last_two_weeks","author/steamid","comment_count","hidden_in_steam_china","language","received_for_free","recommendationid","review","steam_china_location","steam_purchase","timestamp_created","timestamp_updated","voted_up","votes_funny","votes_up","weighted_vote_score","written_during_early_access"
"1701413897","181","13","882","882","0","76561198087178952","0","true","english","false","170598990","It's a decent port, but it could be better.","","true","1721789799","1721789799","true","0","0","0","false"
"1721780706","203","17","771","771","771","76561198798779983","0","true","english","false","170592842","The best Quentin Tarantino film that I don't want to watch again","","false","1721781822","1721781822","true","0","0","0","false"
"1721793868","0","27","1559","1935","1177","76561198169484181","0","true","french","false","170583143","Champion olympique des Olympiades esquimaux indiennes.","","true","1721769431","1721769431","true","0","0","0","false"
"1721744655","0","59","635","635","635","76561198069601045","0","true","english","false","170556935","Undoubtedly one of the most influential video games ever released, paving the way for the cinematic video games we know today.

It is still absolutely worth a play, though the controls might feel a bit outdated after all these years.","","true","1721744808","1721745044","true","0","0","0","false"
"1721806317","162","97","247","727","650","76561198155945496","0","true","english","false","170546711","ta bueno","","true","1721734612","1721734612","true","0","0","0","false"
"1720946455","744","42","1100","1100","1062","76561198160647826","0","true","english","false","170527608","solid snake smoked 500 cigarettes","","true","1721709429","1721709429","true","0","0","0","false"
"1721679434","530","34","168","168","168","76561198141649251","0","true","english","false","170504543","Albeit its the bare minimum from Konami, this is a relatively competent port of Metal Gear Solid! 

A chunk of the issues that were faced within the first few months of launch have also been retroactively fixed. 

only thing i really have to say is


[h1] ==> KONAMI PLEASE ADD PROPER WIDESCREEN <== [/h1]","","true","1721680093","1721680258","true","0","0","0","false"
"1721668076","2319","52","831","831","831","76561198058695024","0","true","english","false","170493751","Metal Gear Solid is one of the greatest videogames ever made, a game so far ahead of its time in ambition and scope that many modern games still don't compare. I first played in 1998 when I was 10 years old and the memory is still fresh in my mind. It's a beautiful, cinematic piece of game-as-art that deserves its place in the hall of gaming fame; I couldn't begin to explain all the reasons why it's a masterpiece. It's for that reason that I URGE you not to play this terrible version of it - it'd be an utter travesty if this was your first experience of such a game.  Others have recommended the GOG version and I can't speak from experience about that, but I can ask you to not choose this one. I experienced crashing in nearly every individual cut scene after each boss fight no matter what I did or what settings I changed, until I eventually gave up and got through the game by mashing the ""skip"" button at the start of each one. I replayed some of the boss fights four or five times in an attempt to actually get to watch them to no avail. All that wonderfully scripted dialogue, backstory, action and intrigue, rendered completely inaccessible by a terrible port, and by port I mean an inferior emulated version. I'm not complaining about the lack of quality of life improvements (there are none so don't expect any, including visually); I'd just have been happy to play the exact game I played in 1998 with no issues on a modern system. You could do a better job emulating this yourself, if you were so inclined. I've not played the Master Collection versions of MGS 2 or 3 yet, perhaps they'll fare better, but this version is just not worth your time.","","false","1721669215","1721669215","false","0","1","0.525862038135528564","false"
"1721666702","0","7","1120","1138","1138","76561198965135048","0","true","latam","false","170491418","exelente juego...Muy recomendado","","true","1721666960","1721666960","true","0","0","0","false"
"1721663237","933","32","538","538","489","76561197997533644","0","true","russian","false","170487724","Отличный шанс сходу и без проблем погрузится в первую пятёрку игр феноменального MGS","","true","1721663371","1721663371","true","0","0","0","false"
"1721651134","138","9","903","931","931","76561198803605380","0","true","english","false","170472763","LIQUID! LIQUID! LIQUID? SNIPER WOLF!! BOOBIER!! SNIPER WOLF?? BOOBIER!!!!!","","true","1721649347","1721649347","true","0","0","0","false"
"1714866549","0","15","535","535","0","76561198805483205","0","true","english","false","170459241","gaseous snake is my favorite and revisiting the first game after 8 releases is so cool","","true","1721632362","1721632362","true","0","0","0","false"
"1721675503","202","8","840","867","867","76561198017275220","0","true","english","false","170418906","i smoke like 20 cigarettes in an hour when i play this game","","true","1721584223","1721584223","true","0","0","0","false"
"1717274368","0","7","828","828","0","76561198010899944","0","true","english","false","170411450","All this time, and I never got to play the MGS games yet. Yeah I know late to the party and all. I finally got around the first one recently and wow... well, I honestly wasn't sure what I was expecting. It's pretty awesome and also funny in several ways.

The art and design is really appealing and definitely has that classic vibe to it. It looks old sure but, it's not bad at all and it is sort of charming to me. It feels like this kind of game that takes itself seriously but not too seriously and likes to bend some things. I really love all the art in this game, and it's a bit of a shame I missed out on these games during my childhood.

The story is just wow. It is definitely out there and I love it. My favorite part of this game. The fourth-wall breaking is not too in-your-face about it and it is tastefully placed in a way that it's really hilarious. Also, really loving all the extra voice acting for all sorts of things like tips and tricks, and otherwise. It really has a lot on this department and I appreciate it. It's a wacky, but fantastic story overall and I love it. Well done, Hideo. :D

I think its biggest weakness however is the gameplay. It suffers from the same curse that a lot of great old games seem to have: clunky and non user-friendly mechanics. This game is really tough, I'm not sure how young people back in the day played through this without genuinely getting angry at it. Then again, I played plenty of PS1 and PS2 games back then with a similar problem and I remember all sorts of frustration and multiple attempts just to get through one level.

I think maybe back then we never gave it so much thought and took the challenge, but nowadays... these kind of difficult gameplay mechanics just do not apply today. That's how usually you can tell that this game is really old, because it just does not play as well as any modern game. Still, I went through it and I can't say that I did not enjoy it. Final boss though... I think I lost a part of my soul trying to get through it.

Regardless of that, I really recommend the game. I think it definitely deserves its place in gaming history. If you haven't gotten through the MGS series yet (like yours truly... lol), definitely start as soon as you can. As a lot of MGS fans seem to say, you'll 'get it' once you play the games... and I think I definitely get it.","","true","1721577699","1721577699","true","0","0","0","false"
"1708801823","102","36","65","65","0","76561198962717514","0","true","english","false","170356751","Get in the goddamn Metal Gear Snake! (solid)","","false","1721519743","1721519743","true","0","0","0","false"
"1721460175","0","10","708","708","525","76561198357051855","0","true","english","false","170352548","First time player, as i never played it growing up. This port runs pretty smooth, glad they released it for current systems. The story is fantastic, and man, the dialogue is GREAT, you really get to know the characters all around and the development of relationships between characters are well done too. AFTERALL This game ""is like one of my japanese animes."" xD Really enjoyed the twist at the end, and can't wait to play the 2nd one. 

10/10 Now im truly...Enjoying life :)","","true","1721514473","1721514523","true","0","0","0","false"
"1706802662","259","3","197","197","0","76561198042064766","0","true","english","false","170340833","It's good
Don't let the naysayers fool you, they're just mad they can't run it in 4k 120 hertz with their $4,000 graphics cards and do all the things they want to do. 
let them use emulation.
If you want a great out of the box experience, that works fantastic on the steam deck now this is the choice for you","","true","1721502586","1721502586","true","0","1","0.496916085481643677","false"
"1719150915","0","3","759","759","0","76561198062478601","0","true","english","false","170333825","This collection isn’t the best value, with lacking features you’d expect from modern releases, and MGS1 is easily the worst game of the collection.

Probably not great for long time fans, and there are definitely better ways to play these games.

BUT!!! As a new fan this collection is convenient being on all platforms and allowed me to play these games for the first time ever. I played all 3 main titles on my steam deck and loved every second of it! 

Can’t wait to continue the series with MGS4, 5, Rising, and the PSP titles.","","true","1721495906","1721495906","true","0","0","0","false"
"1721770279","0","6","691","1146","1146","76561199529789466","0","true","french","false","170320530","Un grand classique du jeu vidéo. Un plaisir d'y jouer sur PC.","","true","1721484151","1721484151","true","0","0","0","false"
"1721422128","569","48","707","732","231","76561198016331406","0","true","english","false","170268977","First of; This is a bare minimum port. It runs, and it doesn't crash (often). Other than that, they barely did anything with this. Without a CRT filter it looks like a jagged mess and the old control scheme is jarring to get used to.

As a game, I can see how this was brilliant for its time, but gameplay has not aged well at all. The tank controlls feels horrible, and the locked top down perspective in a 3D-environment leads to a lot of janky moments, particullary when you have to aim at anything not directly aligned to the X- or Y-axis.  The writing and characters however are forever awesome. 

This was my first time playing it, and I am glad I did, janky gameplay or not.

Hope they get around to properly remaking this sometime after MGS Delta.","","true","1721421585","1721421730","true","1","1","0.525862038135528564","false"
